Taxonomy,Topics,Subtopics,Subgroups,Elements,
"Education, training and skills",,"Spiritual, moral, social and cultural development",,,
"Education, training and skills",,"Primary curriculum, key stage 2",,,
"Education, training and skills",,,Tests and assessments (key stage 2),,
"Education, training and skills",,,English (key stage 2),,
"Education, training and skills",,,Science (key stage 2),,
"Education, training and skills",,,Maths (key stage 2),,
"Education, training and skills",,,Programmes of study (key stage 2),,
"Education, training and skills",,"Primary curriculum, key stage 1",,,
"Education, training and skills",,,Tests and assessments (key stage 1),,
"Education, training and skills",,,Phonics,,
"Education, training and skills",,,Maths (key stage 1),,
"Education, training and skills",,,Science (key stage 1),,
"Education, training and skills",,,Programmes of study (key stage 1),,
"Education, training and skills",,Exam regulation and administration,,,
"Education, training and skills",Special educational needs and disability (SEND) and high needs,,,,
"Education, training and skills",,Support for special educational needs and disability (SEND) ,,,
"Education, training and skills",,Funding for high needs,,,
"Education, training and skills",,Funding for special educational needs and disability (SEND),,,
"Education, training and skills",School and academy funding,,,,
"Education, training and skills",,Schools forums,,,
"Education, training and skills",,Pupil premium and other school premiums ,,,
"Education, training and skills",,Funding for school buildings and land,,,
"Education, training and skills",,Free school meals (FSM) funding ,,,
"Education, training and skills",,Funding for different types of schools and settings,,,
"Education, training and skills",,,Academy funding,,
"Education, training and skills",,,Early years funding,,
"Education, training and skills",,,Funding for 16 to 19 year olds in schools,,
"Education, training and skills",,,Local authority schools funding,,
"Education, training and skills",,,Alternative provision funding,,
"Education, training and skills",,,Special schools funding,,
"Education, training and skills",,Funding for school places,,,
"Education, training and skills",,Initial Teacher Training funding,,,
"Education, training and skills",,,School Direct funding,,
"Education, training and skills",,,Subject Knowledge Enhancement (SKE) funding,,
"Parenting, childcare and children's services ",,,,,
"Parenting, childcare and children's services ","Divorce, separation and legal issues",,,,
"Parenting, childcare and children's services ",,Child custody,,,
"Parenting, childcare and children's services ",,Disagreements about parentage,,,
"Parenting, childcare and children's services ",,Child maintenance,,,
"Parenting, childcare and children's services ",Childcare and early years,,,,
"Parenting, childcare and children's services ",,Local authorities and early years,,,
"Parenting, childcare and children's services ",,Finding childcare,,,
"Parenting, childcare and children's services ",,Providing childcare,,,
"Parenting, childcare and children's services ",,,Funding and finance for childcare providers,,
"Parenting, childcare and children's services ",,,"Children's centres, childminders, pre-schools and nurseries",,
"Parenting, childcare and children's services ",,,Performance and inspection of childcare providers,,
"Parenting, childcare and children's services ",,,Recruiting and managing early years staff,,
"Parenting, childcare and children's services ",,,Becoming a childcare provider,,
"Parenting, childcare and children's services ",,,Early years curriculum (0 to 5),,
"Parenting, childcare and children's services ",,Data collection for early years and childcare,,,
"Parenting, childcare and children's services ",,,Early years census,,
"Parenting, childcare and children's services ",,,Early years foundation stage profile return,,
"Parenting, childcare and children's services ",Financial help if you have children,,,,
"Parenting, childcare and children's services ",,Financial help if you have a disabled child,,,
"Parenting, childcare and children's services ",,Child benefit,,,
"Parenting, childcare and children's services ",,Financial help when having a baby,,,
"Parenting, childcare and children's services ",,Tax credits if you have children,,,
"Parenting, childcare and children's services ",,Savings accounts for children,,,
"Parenting, childcare and children's services ",,Financial help if you're a student with children,,,
"Parenting, childcare and children's services ",,Financial support for childcare,,,
"Parenting, childcare and children's services ","Adoption, fostering and surrogacy",,,,
"Parenting, childcare and children's services ",,Adoption,,,
"Parenting, childcare and children's services ",,Intercountry adoption,,,
"Parenting, childcare and children's services ",,Fostering,,,
"Parenting, childcare and children's services ",,Special guardianship,,,
"Parenting, childcare and children's services ",,Surrogacy,,,
"Parenting, childcare and children's services ",Children's health and welfare,,,,
"Parenting, childcare and children's services ",,Support for children with special educational needs and disabilities (SEND),,,
"Parenting, childcare and children's services ",,Children's rights,,,
"Parenting, childcare and children's services ",,Mental health of children and young people,,,
"Parenting, childcare and children's services ",,Help for children with a long-term illness or disability,,,
"Parenting, childcare and children's services ",,Child poverty,,,
"Parenting, childcare and children's services ",,Children's health,,,
"Parenting, childcare and children's services ",Youth employment and social issues,,,,
"Parenting, childcare and children's services ",Pregnancy and birth,,,,
"Parenting, childcare and children's services ",,Register the birth of a child,,,
"Parenting, childcare and children's services ",,Working and time off when you're having a baby,,,
"Parenting, childcare and children's services ",Safeguarding and social care for children,,,,
"Parenting, childcare and children's services ",,Child and family social work,,,
"Parenting, childcare and children's services ",,Safeguarding and child protection,,,
"Parenting, childcare and children's services ",,,Data collection for safeguarding and child protection,,
"Parenting, childcare and children's services ",,,Child abduction and cross-border child protection,,
"Parenting, childcare and children's services ",,,Serious case reviews,,
"Parenting, childcare and children's services ",,,"Refugee, runaway and homeless children",,
"Parenting, childcare and children's services ",,,"Preventing neglect, abuse and exploitation",,
"Parenting, childcare and children's services ",,Looked-after children and children in care,,,
"Parenting, childcare and children's services ",,,"Health, wellbeing and education of looked-after children",,
"Parenting, childcare and children's services ",,,Data collection for looked-after children,,
"Parenting, childcare and children's services ",,,Children's homes and other accommodation,,
"Parenting, childcare and children's services ",,,Children and young people leaving care,,
"Parenting, childcare and children's services ",,Children's social care providers,,,
"Parenting, childcare and children's services ",,,Becoming a children's social care provider,,
"Parenting, childcare and children's services ",,,Social care provider complaints,,
"Parenting, childcare and children's services ",,,Inspection of children's social care providers,,
"Parenting, childcare and children's services ",,,,Inspections of fostering and adoption agencies,
"Parenting, childcare and children's services ",,,,Inspections of local authority children's services,
"Parenting, childcare and children's services ",,,,Children's homes and other residential care inspections,
"Parenting, childcare and children's services ",,,,"Incidents, concerns and feedback about children's social care providers",
Corporate information,,,,,
Transport,,,,,
Transport,Transport modelling and appraisal,,,,
Transport,Transport accessibility and mobility,,,,
Transport,,Taxi and private hire accessibility,,,
Transport,,Mobility scooters and wheelchairs,,,
Transport,,Blue badges,,,
Transport,,Help on public transport,,,
Transport,Rail,,,,
Transport,,Rail ticketing and fares,,,
Transport,,Rail stations,,,
Transport,,Crossrail,,,
Transport,,Rail accessibility,,,
Transport,,Rail network,,,
Transport,,Rail infrastructure,,,
Transport,,Rail interoperability,,,
Transport,,Rail passenger experience,,,
Transport,,Rail safety and security,,,
Transport,,Rail franchising,,,
Transport,,,Rail franchise procurement,,
Transport,,,Rail franchise public register,,
Transport,,HS2,,,
Transport,,,HS2 and the environment,,
Transport,,,HS2 corporate,,
Transport,,,HS2 property,,
Transport,,,HS2 business case,,
Transport,,,HS2 construction and engineering,,
Transport,,,HS2 supply chain,,
Transport,,,HS2 stations,,
Transport,,,HS2 stakeholder and community engagement,,
Transport,,,HS2 design,,
Transport,,,HS2 additional provisions,,
Transport,,,HS2 legislation,,
Transport,,,HS2 costs,,
Transport,,,HS2 Phase Two,,
Transport,,,,HS2 Phase 2b,
Transport,,,,HS2 Phase 2a,
Transport,,,HS2 Phase One,,
Transport,,,HS2 planning,,
Transport,,,HS2 archaeology,,
Transport,,Community rail,,,
Transport,,Rail network and the environment,,,
Transport,,Rolling stock (passenger trains),,,
Transport,,Rail accidents and serious incidents,,,
Transport,Transport planning,,,,
Transport,Transport security,,,,
Transport,Corporate and operational information (transport),,,,
Transport,Driving and road transport,,,,
Transport,,Vans and minibuses,,,
Transport,,Cycling and walking,,,
Transport,,Autonomous road vehicles,,,
Transport,,"Vehicle ownership, approval and standards",,,
Transport,,,Driver and vehicle record,,
Transport,,,Vehicle import and export,,
Transport,,,Vehicle tax,,
Transport,,,Vehicle insurance,,
Transport,,,MOTs,,
Transport,,,,"Car, motorcycle and van MOT tests",
Transport,,,,"HGV, bus and trailer MOT tests",
Transport,,,Vehicle manufacturing and modification,,
Transport,,,Vehicle recalls,,
Transport,,,HGV standards and checks,,
Transport,,,"Vehicle registration, log books and number plates",,
Transport,,,PSV standards and checks,,
Transport,,,"Buying, selling, registering and scrapping a vehicle",,
Transport,,Driving and motorcycle tests,,,
Transport,,,Motorcycle training,,
Transport,,,Theory tests,,
Transport,,,Car driving tests,,
Transport,,,Motorcycle and moped tests,,
Transport,,,"Lorry, bus, coach and specialist vehicle driving tests",,
Transport,,Driving licences,,,
Transport,,,Personal driving licence information,,
Transport,,,Driving licence categories,,
Transport,,,Foreign driving licences,,
Transport,,,Driving abroad,,
Transport,,,Driving licences and medical conditions,,
Transport,,,Driving licence applications and renewals,,
Transport,,"Road safety, driving rules and penalties",,,
Transport,,,Driving and medical conditions,,
Transport,,,Driving and mobile phones,,
Transport,,,Seat belts,,
Transport,,,Speeding,,
Transport,,,"Penalty points, fines and driving bans",,
Transport,,,Towing,,
Transport,,,Drivers' hours,,
Transport,,,Drink and drug driving,,
Transport,,,Road accidents and serious accidents,,
Transport,,Driving instruction and driving lessons,,,
Transport,,,Driving examination,,
Transport,,,"Driving, motorcycle and LGV instructor qualification process",,
Transport,,,Professional development for driving and motorcycle instructors,,
Transport,,,Driving instructor registration and renewals,,
Transport,,"Professional driving of lorries, buses and coaches",,,
Transport,,,EU and international driving rules,,
Transport,,,Tachographs,,
Transport,,,Driver CPC training,,
Transport,,Transport businesses and vehicle operator licences,,,
Transport,,,Fleet management,,
Transport,,,Driver CPC training centres,,
Transport,,,Vehicle operator licences,,
Transport,,,,Public service vehicles licensing,
Transport,,,,HGV and goods carriage vehicle licensing,
Transport,,,,Taxi and private hire vehicle licensing,
Transport,,,Employing drivers,,
Transport,,Road transport and the environment,,,
Transport,,,Renewable fuels,,
Transport,,,Low emission and electric vehicles,,
Transport,,,Road transport emissions,,
Transport,,Road traffic,,,
Transport,Road infrastructure,,,,
Transport,,Road maintenance,,,
Transport,,Animals on roads,,,
Transport,,Advice for drivers,,,
Transport,,Roads and the environment,,,
Transport,,Smart motorways,,,
Transport,,Parking,,,
Transport,,"Traffic signs, signals and markings",,,
Transport,,Speed limits and traffic cameras,,,
Transport,,Road tolls and charges,,,
Transport,,Road improvement and investment,,,
Transport,,,Major roads,,
Transport,,,Motorways,,
Transport,,,Local roads,,
Transport,,,Making roads safer,,
Transport,,,Road resurfacing,,
Transport,,Road works and street works,,,
Transport,,,Road closures,,
Transport,,,Weekend closures,,
Transport,,,Planned roadworks,,
Transport,,,Overnight works,,
Transport,,,Property affected by roadworks and street works,,
Transport,Careers in transport,,,,
Transport,Maritime and shipping,,,,
Transport,,UK sea passengers,,,
Transport,,Maritime passenger rights,,,
Transport,,Waterways (maritime),,,
Transport,,Maritime security,,,
Transport,,Vessel surveys and inspection,,,
Transport,,Fishing,,,
Transport,,Maritime enforcement and prosecution,,,
Transport,,"Seafarer management, training and certification",,,
Transport,,,Employment of seafarers,,
Transport,,,Ship crew training and certification,,
Transport,,,Ship crew health and safety,,
Transport,,Wrecks,,,
Transport,,Coastguard search and rescue,,,
Transport,,Maritime navigation,,,
Transport,,Maritime and the environment,,,
Transport,,Maritime safety,,,
Transport,,,Safe and compliant operation of vessels,,
Transport,,,Life saving appliances (LSA),,
Transport,,"Ports, harbours and offshore installations",,,
Transport,,Vessel registration and design,,,
Transport,,,Vessel design,,
Transport,,,Vessel registration,,
Transport,,,Ship equipment,,
Transport,,Maritime accidents and serious incidents,,,
Transport,Aviation,,,,
Transport,,Air routes,,,
Transport,,Aviation passenger experience,,,
Transport,,Air passenger duty,,,
Transport,,Aviation and Europe,,,
Transport,,Night flights,,,
Transport,,New aviation technology,,,
Transport,,,Drones,,
Transport,,,Spaceflight,,
Transport,,Surface access to airports,,,
Transport,,Airport capacity and expansion,,,
Transport,,Aviation and the environment,,,
Transport,,Aviation safety and security,,,
Transport,,Air navigation,,,
Transport,,Air accidents and serious incidents,,,
Transport,,General aviation,,,
Transport,Local transport,,,,
Transport,,Inland waterways,,,
Transport,,Travel passes and concessions,,,
Transport,,Light rail and trams,,,
Transport,,Local transport funding,,,
Transport,,Buses,,,
Transport,,,Buses and the environment,,
Transport,,,Bus operators,,
Transport,,,Bus passenger experience,,
Transport,,,Improvements to buses,,
Transport,,,Bus accessibility,,
Transport,,,"Bus services, routes and timetables",,
Transport,,Tube,,,
Transport,"Freight, haulage and cargo",,,,
Transport,,Rail freight and cargo,,,
Transport,,Transporting dangerous goods,,,
Transport,,,Safe transport of dangerous goods by road and rail,,
Transport,,,Safe transport of dangerous goods by sea,,
Transport,,Vessel cargo,,,
Transport,,Transporting abnormal loads,,,
Transport,,Road haulage,,,
Environment,,,,,
Environment,Environmental permits,,,,
Environment,Water industry,,,,
Environment,,Discharge water,,,
Environment,,Impound (store) water,,,
Environment,,Abstract (take) water,,,
Environment,,Water quality,,,
Environment,,Drought and water availability,,,
Environment,,Water and sewerage services,,,
Environment,Climate change and energy,,,,
Environment,,Emissions and emissions trading,,,
Environment,,Energy efficiency,,,
Environment,,Energy and climate change: evidence and analysis,,,
Environment,,Greenhouse gas emissions,,,
Environment,,Climate change international action,,,
Environment,,Climate change adaptation,,,
Environment,Rural and countryside,,,,
Environment,,Boats and waterways,,,
Environment,,Countryside,,,
Environment,,,Access to the countryside,,
Environment,,,"Parks, trails and nature reserves",,
Environment,,Forests and woodland,,,
Environment,,Rural development and land management,,,
Environment,,,Societal risk,,
Environment,,,Commons and greens,,
Environment,,,Pollution,,
Environment,,,Protected sites,,
Environment,,,"Weeds and invasive, non-native plants",,
Environment,,,Hedgerows,,
Environment,,,Farming,,
Environment,,,Contaminated land,,
Environment,,,Economic growth in rural areas,,
Environment,,,Rural economy and community,,
Environment,Pollution and environmental quality,,,,
Environment,"River maintenance, flooding and coastal erosion",,,,
Environment,"Wildlife, animals, biodiversity and ecosystems",,,,
Environment,,Biodiversity and ecosystems,,,
Environment,,Wildlife and animal welfare,,,
Environment,,Animal and plant health,,,
Environment,,Protected sites and species,,,
Environment,,,Marine sites and species,,
Environment,,,Land sites,,
Environment,,,Land species,,
Environment,,Wildlife and habitat conservation,,,
Environment,,,Birds,,
Environment,,,Fish and shellfish,,
Environment,,,Plants,,
Environment,,,Invertebrates,,
Environment,,,Reptiles and amphibians,,
Environment,,,Mammals,,
Environment,,Pets,,,
Environment,,Animal welfare,,,
Environment,"Commercial fishing, fisheries and vessels",,,,
Environment,,"Fishing regulations, monitoring and enforcement",,,
Environment,,,Catch Quota Trials,,
Environment,,,First sale marine fish,,
Environment,,,Fisheries statistics,,
Environment,,,Sales notes and electronic recording systems,,
Environment,,,Fishing quota and catch limits ,,
Environment,,Fisheries funding,,,
Environment,,Fishing vessels,,,
Environment,,,Vessel and crew safety and certification,,
Environment,,,Vessel surveys and inspections,,
Environment,,,Vessel licensing,,
Environment,,,Vessel monitoring systems,,
Environment,,,Vessel licensing and lists,,
Environment,,Marine fisheries,,,
Environment,,Freshwater fisheries,,,
Environment,Waste and recycling,,,,
Environment,,Waste and environmental impact,,,
Environment,,Waste management,,,
Environment,,Radioactive and nuclear substances and waste,,,
Environment,Food and farming,,,,
Environment,,Food and farming industry,,,
Environment,,Common Agricultural Policy reform,,,
Environment,,Keeping farmed animals,,,
Environment,,,Cattle deaths,,
Environment,,,Deer farming,,
Environment,,,"Pig identification, registration and movements",,
Environment,,,"Shows, fairs and markets",,
Environment,,,Veterinary medicines,,
Environment,,,Poultry registration,,
Environment,,,"Sheep and goats identification, registration and movements",,
Environment,,,Import and export of farmed animals,,
Environment,,,"Cattle identification, registration and movements",,
Environment,,,Reporting disease and disease outbreaks,,
Environment,,,Bovine tuberculosis (bovine TB),,
Environment,,Producing and distributing food,,,
Environment,,,Crops and horticulture ,,
Environment,,,Food labelling and safety,,
Environment,,,"Import, export and distribution of food",,
Environment,,,Meat production,,
Environment,,,Dairy and milk production,,
Environment,,,Sugar,,
Environment,,,Egg production and marketing,,
Environment,,Farming and food grants and payments,,,
Environment,,,Intervention schemes,,
Environment,,,Rural grants and payments,,
Environment,,,,Basic Payment Scheme (BPS),
Environment,,,,Common Agricultural Policy (CAP) reform,
Environment,,,,Cross-compliance,
Environment,,,,Rural development,
Environment,,,,Online applications and payments,
Environment,,,,Countryside stewardship,
Environment,,,School milk scheme,,
Environment,,,Private storage aid,,
Environment,Marine,,,,
Environment,,Harbour orders,,,
Environment,,Sea fishing,,,
Environment,,Harbours,,,
Environment,,Marine protection and wildlife,,,
Environment,,Species protection and marine conservation,,,
Environment,,Treasure and wrecks,,,
Environment,,Marine licences,,,
Environment,,Hydrography,,,
Environment,,Marine planning,,,
Environment,,Marine environment,,,
Environment,Chemicals,,,,
Environment,,F-gases and HCFCs,,,
Environment,,Polychlorinated biphenyl (PCBs),,,
Environment,,Mercury,,,
Environment,,Contaminated land,,,
Environment,,REACH regulations,,,
Environment,,COMAH (control of major accident hazards),,,
Environment,,Seveso II Directive,,,
Environment,Energy infrastructure,,,,
Environment,,Low carbon technologies,,,
Environment,,"Oil, gas and coal",,,
Environment,,,Oil spills,,
Environment,,,Oil and gas licensing,,
Environment,,,Exploration and production,,
Environment,,,Infrastructure and decommissioning,,
Environment,,,Carbon capture and storage,,
Environment,,,Oil and gas finance and taxation,,
Environment,,,,Market values,
Environment,,,,Tax and profits,
Environment,,,Fields and wells,,
Environment,,,Onshore oil and gas,,
Environment,,,Offshore oil and gas,,
Environment,,,Coal,,
Environment,,,,Mine water management,
Environment,,,,Mining reports and data,
Environment,,,,Property and development,
Environment,,,,Mining permits and licences,
Welfare,,,,,
Welfare,Child Benefit,,,,
Welfare,,Support for families,,,
Welfare,,High Income Tax Charge,,,
Welfare,Carers and disability benefits,,,,
Welfare,Child maintenance reform,,,,
Welfare,Death and benefits,,,,
Welfare,Benefits for families,,,,
Welfare,Heating and housing benefits,,,,
Welfare,Tax credits,,,,
Welfare,Benefits entitlement,,,,
Welfare,Jobseeker's Allowance and low income benefits,,,,
Welfare,Universal Credit,,,,
Welfare,Welfare reform,,,,
"Housing, local and community",,,,,
"Housing, local and community",Land registration,,,,
"Housing, local and community",,Business and mortgage services,,,
"Housing, local and community",,,Mortgage services,,
"Housing, local and community",,,Spatial data,,
"Housing, local and community",,,Ownership verification ,,
"Housing, local and community",,,Risk management,,
"Housing, local and community",,,Conveyancing services ,,
"Housing, local and community",,,Property portfolio management ,,
"Housing, local and community",,"Land registration searches, fees and forms",,,
"Housing, local and community",,Land Registration Data ,,,
"Housing, local and community",Planning and building,,,,
"Housing, local and community",,Landscape,,,
"Housing, local and community",,Planning system,,,
"Housing, local and community",,Land and development opportunities,,,
"Housing, local and community",,Planning reform,,,
"Housing, local and community",,Planning permission and appeals,,,
"Housing, local and community",,House building,,,
"Housing, local and community",,Building regulation,,,
"Housing, local and community",,,CDM (construction design and management),,
"Housing, local and community",,Local Plans,,,
"Housing, local and community",,Housing design and sustainability,,,
"Housing, local and community",,Environmental planning,,,
"Housing, local and community",,,Land use planning,,
"Housing, local and community",,,Societal risk,,
"Housing, local and community",,Party walls,,,
"Housing, local and community",,Energy efficiency in buildings,,,
"Housing, local and community",Household energy,,,,
"Housing, local and community",,Gas - LPG (liquefied petroleum gas),,,
"Housing, local and community",,Gas - Domestic,,,
"Housing, local and community",Housing and communities,,,,
"Housing, local and community",,Council housing and housing association,,,
"Housing, local and community",,Being a landlord and renting out a room,,,
"Housing, local and community",,"Repossessions, emergency housing and evictions",,,
"Housing, local and community",,Housing for older and vulnerable people,,,
"Housing, local and community",,Owning and renting a property,,,
"Housing, local and community",,Freehold and leasehold property,,,
"Housing, local and community",,Tenancies and leases,,,
"Housing, local and community",,Rented housing sector,,,
"Housing, local and community",,Homebuying,,,
"Housing, local and community",,Housing regulation,,,
"Housing, local and community",,"Recycling, rubbish, streets and roads",,,
"Housing, local and community",,Housing funding programmes,,,
"Housing, local and community",,Safety and the environment in your community,,,
"Housing, local and community",,"Neighbours, noise and pests",,,
"Housing, local and community",,Homelessness and rough sleeping,,,
"Housing, local and community",,Traveller communities,,,
Life circumstances,,,,,
Life circumstances,"Having a child, parenting and adoption",,,,
Life circumstances,"Certificates, register offices, changes of name or gender",,,,
Life circumstances,"Lasting power of attorney, being in care and your finances",,,,
Life circumstances,"Marriage, civil partnership and divorce",,,,
Life circumstances,,Help and support if you have children,,,
Life circumstances,,Child maintenance,,,
Life circumstances,,Getting separated or divorced,,,
Life circumstances,,Getting married ,,,
